ID,Payload,Message,Response
"0","b'\\x00'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:11.345|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x00|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=148|35=D|34=6|49=BANZAI|52=20241208-12:19:11.355|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x00|59=1|60=20241208-12:19:10|10=138|'"
"1","b'\\x02'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:11.510|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x02|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=148|35=D|34=7|49=BANZAI|52=20241208-12:19:11.522|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x02|59=1|60=20241208-12:19:10|10=137|'"
"2","b'\\x03'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:11.679|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x03|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=148|35=D|34=8|49=BANZAI|52=20241208-12:19:11.689|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x03|59=1|60=20241208-12:19:10|10=153|'"
"3","b'\\x04'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:11.845|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x04|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=148|35=D|34=9|49=BANZAI|52=20241208-12:19:11.854|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x04|59=1|60=20241208-12:19:10|10=149|'"
"4","b'\\x05'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:12.009|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x05|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=10|49=BANZAI|52=20241208-12:19:12.016|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x05|59=1|60=20241208-12:19:10|10=182|'"
"5","b'\\x06'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:12.171|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x06|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=11|49=BANZAI|52=20241208-12:19:12.181|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x06|59=1|60=20241208-12:19:10|10=187|'"
"6","b'\\x07'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:12.336|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x07|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=12|49=BANZAI|52=20241208-12:19:12.346|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x07|59=1|60=20241208-12:19:10|10=192|'"
"7","b'\\x08'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:12.502|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x08|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=13|49=BANZAI|52=20241208-12:19:12.512|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x08|59=1|60=20241208-12:19:10|10=189|'"
"8","b'\\t'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:12.669|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\t|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=14|49=BANZAI|52=20241208-12:19:12.677|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\t|59=1|60=20241208-12:19:10|10=203|'"
"9","b'\\\\n'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:12.832|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\\\n|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=15|49=BANZAI|52=20241208-12:19:12.842|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\n|59=1|60=20241208-12:19:10|10=199|'"
